vSweep,run_num,vd,id,vth0,u0,rdsw,nfactor,vsat,eta0
0.00000000e+00,0.00000000e+00,0.00000000e+00,-5.34381823e-43,3.66342660e-01,7.40069000e-02,1.00279000e+02,1.13110000e+01,1.37848000e+05,-1.91127000e-01
1.00000000e-02,0.00000000e+00,1.00000000e-02,-2.22935958e-05,3.66342660e-01,7.40069000e-02,1.00279000e+02,1.13110000e+01,1.37848000e+05,-1.91127000e-01
2.00000000e-02,0.00000000e+00,2.00000000e-02,-4.36541898e-05,3.66342660e-01,7.40069000e-02,1.00279000e+02,1.13110000e+01,1.37848000e+05,-1.91127000e-01
3.00000000e-02,0.00000000e+00,3.00000000e-02,-6.39850986e-05,3.66342660e-01,7.40069000e-02,1.00279000e+02,1.13110000e+01,1.37848000e+05,-1.91127000e-01
4.00000000e-02,0.00000000e+00,4.00000000e-02,-8.32419445e-05,3.66342660e-01,7.40069000e-02,1.00279000e+02,1.13110000e+01,1.37848000e+05,-1.91127000e-01
5.00000000e-02,0.00000000e+00,5.00000000e-02,-1.01408797e-04,3.66342660e-01,7.40069000e-02,1.00279000e+02,1.13110000e+01,1.37848000e+05,-1.91127000e-01
6.00000000e-02,0.00000000e+00,6.00000000e-02,-1.18487843e-04,3.66342660e-01,7.40069000e-02,1.00279000e+02,1.13110000e+01,1.37848000e+05,-1.91127000e-01
7.00000000e-02,0.00000000e+00,7.00000000e-02,-1.34494266e-04,3.66342660e-01,7.40069000e-02,1.00279000e+02,1.13110000e+01,1.37848000e+05,-1.91127000e-01
8.00000000e-02,0.00000000e+00,8.00000000e-02,-1.49453361e-04,3.66342660e-01,7.40069000e-02,1.00279000e+02,1.13110000e+01,1.37848000e+05,-1.91127000e-01
9.00000000e-02,0.00000000e+00,9.00000000e-02,-1.63398635e-04,3.66342660e-01,7.40069000e-02,1.00279000e+02,1.13110000e+01,1.37848000e+05,-1.91127000e-01
