vSweep,run_num,vd,id,vth0,u0,rdsw,nfactor,vsat,eta0
0.00000000e+00,2.00000000e+00,0.00000000e+00,-5.34334440e-43,4.56089897e-01,7.40069000e-02,1.00279000e+02,1.13110000e+01,1.37848000e+05,-1.91127000e-01
1.00000000e-02,2.00000000e+00,1.00000000e-02,-1.78542418e-05,4.56089897e-01,7.40069000e-02,1.00279000e+02,1.13110000e+01,1.37848000e+05,-1.91127000e-01
2.00000000e-02,2.00000000e+00,2.00000000e-02,-3.48575233e-05,4.56089897e-01,7.40069000e-02,1.00279000e+02,1.13110000e+01,1.37848000e+05,-1.91127000e-01
3.00000000e-02,2.00000000e+00,3.00000000e-02,-5.09267582e-05,4.56089897e-01,7.40069000e-02,1.00279000e+02,1.13110000e+01,1.37848000e+05,-1.91127000e-01
4.00000000e-02,2.00000000e+00,4.00000000e-02,-6.60306576e-05,4.56089897e-01,7.40069000e-02,1.00279000e+02,1.13110000e+01,1.37848000e+05,-1.91127000e-01
5.00000000e-02,2.00000000e+00,5.00000000e-02,-8.01654492e-05,4.56089897e-01,7.40069000e-02,1.00279000e+02,1.13110000e+01,1.37848000e+05,-1.91127000e-01
6.00000000e-02,2.00000000e+00,6.00000000e-02,-9.33445775e-05,4.56089897e-01,7.40069000e-02,1.00279000e+02,1.13110000e+01,1.37848000e+05,-1.91127000e-01
7.00000000e-02,2.00000000e+00,7.00000000e-02,-1.05593519e-04,4.56089897e-01,7.40069000e-02,1.00279000e+02,1.13110000e+01,1.37848000e+05,-1.91127000e-01
8.00000000e-02,2.00000000e+00,8.00000000e-02,-1.16946705e-04,4.56089897e-01,7.40069000e-02,1.00279000e+02,1.13110000e+01,1.37848000e+05,-1.91127000e-01
9.00000000e-02,2.00000000e+00,9.00000000e-02,-1.27445352e-04,4.56089897e-01,7.40069000e-02,1.00279000e+02,1.13110000e+01,1.37848000e+05,-1.91127000e-01
1.00000000e-01,2.00000000e+00,1.00000000e-01,-1.37135695e-04,4.56089897e-01,7.40069000e-02,1.00279000e+02,1.13110000e+01,1.37848000e+05,-1.91127000e-01
1.10000000e-01,2.00000000e+00,1.10000000e-01,-1.46067411e-04,4.56089897e-01,7.40069000e-02,1.00279000e+02,1.13110000e+01,1.37848000e+05,-1.91127000e-01
1.20000000e-01,2.00000000e+00,1.20000000e-01,-1.54292170e-04,4.56089897e-01,7.40069000e-02,1.00279000e+02,1.13110000e+01,1.37848000e+05,-1.91127000e-01
1.30000000e-01,2.00000000e+00,1.30000000e-01,-1.61862322e-04,4.56089897e-01,7.40069000e-02,1.00279000e+02,1.13110000e+01,1.37848000e+05,-1.91127000e-01
1.40000000e-01,2.00000000e+00,1.40000000e-01,-1.68829743e-04,4.56089897e-01,7.40069000e-02,1.00279000e+02,1.13110000e+01,1.37848000e+05,-1.91127000e-01
1.50000000e-01,2.00000000e+00,1.50000000e-01,-1.75244879e-04,4.56089897e-01,7.40069000e-02,1.00279000e+02,1.13110000e+01,1.37848000e+05,-1.91127000e-01
1.60000000e-01,2.00000000e+00,1.60000000e-01,-1.81155995e-04,4.56089897e-01,7.40069000e-02,1.00279000e+02,1.13110000e+01,1.37848000e+05,-1.91127000e-01
1.70000000e-01,2.00000000e+00,1.70000000e-01,-1.86608635e-04,4.56089897e-01,7.40069000e-02,1.00279000e+02,1.13110000e+01,1.37848000e+05,-1.91127000e-01
1.80000000e-01,2.00000000e+00,1.80000000e-01,-1.91645273e-04,4.56089897e-01,7.40069000e-02,1.00279000e+02,1.13110000e+01,1.37848000e+05,-1.91127000e-01
1.90000000e-01,2.00000000e+00,1.90000000e-01,-1.96305137e-04,4.56089897e-01,7.40069000e-02,1.00279000e+02,1.13110000e+01,1.37848000e+05,-1.91127000e-01
2.00000000e-01,2.00000000e+00,2.00000000e-01,-2.00624162e-04,4.56089897e-01,7.40069000e-02,1.00279000e+02,1.13110000e+01,1.37848000e+05,-1.91127000e-01
2.10000000e-01,2.00000000e+00,2.10000000e-01,-2.04635052e-04,4.56089897e-01,7.40069000e-02,1.00279000e+02,1.13110000e+01,1.37848000e+05,-1.91127000e-01
2.20000000e-01,2.00000000e+00,2.20000000e-01,-2.08367417e-04,4.56089897e-01,7.40069000e-02,1.00279000e+02,1.13110000e+01,1.37848000e+05,-1.91127000e-01
2.30000000e-01,2.00000000e+00,2.30000000e-01,-2.11847956e-04,4.56089897e-01,7.40069000e-02,1.00279000e+02,1.13110000e+01,1.37848000e+05,-1.91127000e-01
2.40000000e-01,2.00000000e+00,2.40000000e-01,-2.15100669e-04,4.56089897e-01,7.40069000e-02,1.00279000e+02,1.13110000e+01,1.37848000e+05,-1.91127000e-01
2.50000000e-01,2.00000000e+00,2.50000000e-01,-2.18147087e-04,4.56089897e-01,7.40069000e-02,1.00279000e+02,1.13110000e+01,1.37848000e+05,-1.91127000e-01
2.60000000e-01,2.00000000e+00,2.60000000e-01,-2.21006494e-04,4.56089897e-01,7.40069000e-02,1.00279000e+02,1.13110000e+01,1.37848000e+05,-1.91127000e-01
2.70000000e-01,2.00000000e+00,2.70000000e-01,-2.23696148e-04,4.56089897e-01,7.40069000e-02,1.00279000e+02,1.13110000e+01,1.37848000e+05,-1.91127000e-01
2.80000000e-01,2.00000000e+00,2.80000000e-01,-2.26231491e-04,4.56089897e-01,7.40069000e-02,1.00279000e+02,1.13110000e+01,1.37848000e+05,-1.91127000e-01
2.90000000e-01,2.00000000e+00,2.90000000e-01,-2.28626340e-04,4.56089897e-01,7.40069000e-02,1.00279000e+02,1.13110000e+01,1.37848000e+05,-1.91127000e-01
3.00000000e-01,2.00000000e+00,3.00000000e-01,-2.30893062e-04,4.56089897e-01,7.40069000e-02,1.00279000e+02,1.13110000e+01,1.37848000e+05,-1.91127000e-01
3.10000000e-01,2.00000000e+00,3.10000000e-01,-2.33042738e-04,4.56089897e-01,7.40069000e-02,1.00279000e+02,1.13110000e+01,1.37848000e+05,-1.91127000e-01
3.20000000e-01,2.00000000e+00,3.20000000e-01,-2.35085305e-04,4.56089897e-01,7.40069000e-02,1.00279000e+02,1.13110000e+01,1.37848000e+05,-1.91127000e-01
3.30000000e-01,2.00000000e+00,3.30000000e-01,-2.37029683e-04,4.56089897e-01,7.40069000e-02,1.00279000e+02,1.13110000e+01,1.37848000e+05,-1.91127000e-01
3.40000000e-01,2.00000000e+00,3.40000000e-01,-2.38883891e-04,4.56089897e-01,7.40069000e-02,1.00279000e+02,1.13110000e+01,1.37848000e+05,-1.91127000e-01
3.50000000e-01,2.00000000e+00,3.50000000e-01,-2.40655149e-04,4.56089897e-01,7.40069000e-02,1.00279000e+02,1.13110000e+01,1.37848000e+05,-1.91127000e-01
3.60000000e-01,2.00000000e+00,3.60000000e-01,-2.42349964e-04,4.56089897e-01,7.40069000e-02,1.00279000e+02,1.13110000e+01,1.37848000e+05,-1.91127000e-01
